iter	RMSE
0	537429.6991
1	522952.4546
2	510100.6776
3	498795.6489
4	488280.0452
5	478988.4324
6	470047.8331
7	461798.5929
8	454756.7839
9	448090.1554
10	442285.3841
11	437001.6547
12	431897.0994
13	427390.1396
14	423053.4403
15	419200.2429
16	415693.0904
17	412665.8306
18	409483.3995
19	406740.2517
20	404201.2022
21	401800.2163
22	399170.7877
23	396654.4243
24	394880.0293
25	393114.4992
26	391323.4918
27	389457.7026
28	387782.2836
29	386621.0327
30	385350.78
31	384039.6601
32	382848.2532
33	381715.641
34	380705.1037
35	379744.6069
36	378698.9325
37	377787.3931
38	376894.9219
39	376068.1381
40	375226.0766
41	374426.8079
42	372657.0591
43	371747.1446
44	370955.6371
45	370295.3628
46	369743.3968
47	368982.0374
48	368195.3714
49	367752.6774
50	367148.592
51	366708.3612
52	366238.7625
53	365669.9242
54	365214.9624
55	364681.3767
56	364235.2875
57	364002.2958
58	363030.6135
59	362801.6702
60	362335.1496
61	361850.5844
62	361593.6696
63	361226.2021
64	360467.4703
65	359900.2904
66	359568.4317
67	359131.3444
68	358819.0234
69	358314.7652
70	357904.7345
71	357526.8679
72	357195.3983
73	356203.7748
74	355805.2646
75	355597.7069
76	355248.1623
77	354918.2421
78	354548.2819
79	354092.9648
80	353843.8023
81	352895.2566
82	352595.6466
83	352143.0846
84	351864.0985
85	351428.1086
86	350931.1032
87	349685.0409
88	349232.0054
89	348395.3053
90	348158.0133
91	348004.4849
92	347820.0467
93	347607.201
94	347464.0653
95	347203.3893
96	346985.7685
97	346463.7257
98	346299.9852
99	346211.4323
100	346026.0798
101	345840.8706
102	344964.5987
103	344722.5295
104	344570.0821
105	344336.0751
106	344128.9329
107	343821.7771
108	343698.3781
109	343570.8072
110	343220.4216
111	342325.5107
112	342048.8882
113	341969.7279
114	341794.1666
115	341507.2039
116	341253.9945
117	340789.5782
118	340719.9287
119	340666.6858
120	340490.2944
121	340305.4904
122	339960.8104
123	339578.0729
124	339434.6631
125	339302.1958
126	339080.3067
127	338973.9727
128	338791.8222
129	338600.3212
130	338506.0251
131	337662.2599
132	337487.8321
133	336692.6963
134	336423.3036
135	336172.5332
136	336145.3234
137	335997.3221
138	335801.684
139	335469.5135
140	335241.4295
141	335025.5482
142	334956.365
143	333995.9635
144	333816.9651
145	333799.7952
146	333136.75
147	332872.2054
148	332840.7867
149	332598.8966
150	332340.3068
151	332239.3029
152	332154.3184
153	331963.0968
154	331947.2907
155	331217.1807
156	331184.0445
157	330480.0751
158	330317.3895
159	330301.4322
160	329998.4611
161	329970.3344
162	329762.0398
163	329395.6327
164	329222.1699
165	329065.4377
166	329036.6586
167	329018.7111
168	328345.1813
169	328016.4136
170	327812.4293
171	327775.2218
172	327605.8332
173	326937.9779
174	326897.7488
175	326879.9512
176	326861.9213
177	326278.7969
178	326260.0373
179	325809.6807
180	325797.5747
181	325512.1279
182	325260.6917
183	325024.1787
184	324733.7366
185	324189.6212
186	324043.471
187	324026.8758
188	323788.4401
189	323267.2555
190	322695.9536
191	322651.6163
192	322363.5044
193	322143.9298
194	322012.2179
195	321713.2972
196	321162.0318
197	321038.4025
198	320920.1095
199	320681.1695
200	320207.5234
201	320115.9296
202	320028.7546
203	319534.7895
204	319451.3138
205	319371.5202
206	319101.8642
207	319025.4
208	318952.6115
209	318882.9012
210	318865.1158
211	318770.9653
212	318760.8852
213	318617.191
214	318428.7668
215	318279.9912
216	318148.0526
217	318063.9
218	317581.8345
219	317568.0054
220	317481.3372
221	317213.0484
222	316978.5776
223	316965.735
224	316960.3565
225	316766.102
226	316663.0363
227	316343.1673
228	316094.8149
229	315969.8262
230	315940.9694
231	315933.1226
232	315745.067
233	315646.1964
234	315349.1736
235	315069.3056
236	314883.4166
237	314618.8702
238	314532.6932
239	314450.1525
240	314356.0168
241	314170.1984
242	313704.8453
243	313392.1465
244	313251.1942
245	312817.237
246	312650.0657
247	312444.3911
248	312023.5618
249	312018.525
250	311847.151
251	311715.4585
252	311523.5959
253	311121.308
254	310985.1855
255	310869.2349
256	310779.6692
257	310636.8944
258	310565.7626
259	310561.4715
260	310339.4151
261	310159.0725
262	310154.9596
263	309968.9395
264	309859.3157
265	309601.4815
266	309372.9134
267	309125.7397
268	309016.0831
269	308863.5862
270	308586.3131
271	308387.7976
272	307994.0178
273	307622.3106
274	307471.4419
275	307263.733
276	307033.2987
277	306698.6334
278	306616.3333
279	306612.4639
280	306387.8123
281	306309.1112
282	306305.4861
283	306106.9392
284	306037.6518
285	306034.1993
