iter	Passed	Remaining
0	60	60161
1	62	31189
2	64	21548
3	67	16732
4	69	13843
5	71	11901
6	74	10526
7	76	9487
8	78	8687
9	80	8018
10	83	7487
11	85	7021
12	87	6642
13	89	6315
14	91	6023
15	93	5756
16	95	5532
17	97	5324
18	99	5162
19	102	5003
20	104	4862
21	106	4737
22	108	4618
23	110	4502
24	112	4401
25	114	4302
26	117	4227
27	119	4147
28	121	4068
29	124	4012
30	126	3939
31	127	3866
32	130	3809
33	132	3753
34	134	3700
35	136	3658
36	138	3612
37	141	3586
38	143	3539
39	146	3506
40	148	3465
41	150	3422
42	152	3390
43	154	3356
44	156	3322
45	158	3292
46	160	3258
47	162	3229
48	164	3195
49	166	3168
50	168	3143
51	170	3113
52	172	3087
53	174	3063
54	176	3038
55	179	3019
56	181	2996
57	183	2972
58	185	2955
59	187	2933
60	189	2916
61	191	2901
62	194	2888
63	196	2869
64	198	2852
65	200	2833
66	202	2815
67	204	2797
68	206	2785
69	208	2773
70	211	2763
71	213	2751
72	215	2740
73	217	2727
74	220	2715
75	222	2701
76	224	2690
77	226	2678
78	228	2665
79	230	2652
80	232	2642
81	235	2631
82	237	2620
83	239	2607
84	241	2598
85	243	2588
86	245	2577
87	247	2569
88	249	2558
89	252	2548
90	254	2539
91	256	2531
92	258	2520
93	260	2511
94	262	2503
95	264	2493
96	267	2485
97	269	2478
98	271	2472
99	273	2464
100	275	2455
101	277	2445
102	280	2438
103	281	2428
104	284	2422
105	286	2414
106	288	2406
107	290	2398
108	292	2393
109	294	2385
110	297	2378
111	299	2372
112	301	2367
113	303	2361
114	305	2353
115	307	2345
116	309	2338
117	312	2333
118	314	2325
119	316	2317
120	318	2310
121	319	2302
122	321	2295
123	324	2289
124	326	2282
125	328	2276
126	330	2270
127	332	2265
128	334	2258
129	336	2253
130	338	2246
131	340	2240
132	342	2233
133	344	2228
134	347	2225
135	349	2220
136	351	2214
137	355	2217
138	358	2221
139	362	2225
140	365	2225
141	368	2228
142	373	2241
143	375	2234
144	378	2228
145	380	2227
146	383	2226
147	385	2221
148	387	2215
149	390	2210
150	392	2205
151	394	2202
152	397	2198
153	399	2193
154	401	2188
155	403	2182
156	405	2176
157	407	2170
158	409	2164
159	411	2162
160	413	2157
161	415	2151
162	418	2146
163	420	2143
164	422	2138
165	425	2135
166	426	2129
167	429	2124
168	431	2119
169	433	2115
170	435	2110
171	437	2105
172	439	2100
173	441	2095
174	443	2089
175	445	2084
176	447	2078
177	449	2075
178	451	2070
179	453	2066
180	455	2062
181	457	2057
182	459	2053
183	461	2048
184	463	2044
185	466	2039
186	468	2035
187	470	2031
188	472	2027
189	474	2023
190	476	2019
191	478	2015
192	480	2010
193	482	2006
194	485	2002
195	487	1999
196	489	1994
197	491	1990
198	493	1986
199	495	1981
200	497	1977
201	499	1974
202	502	1971
203	504	1967
204	506	1963
205	508	1959
206	510	1956
207	512	1952
208	514	1948
209	516	1944
210	518	1940
211	520	1936
212	522	1931
213	524	1927
214	526	1924
215	529	1920
216	531	1916
217	533	1913
218	535	1910
219	537	1906
220	539	1902
221	542	1900
222	544	1897
223	546	1892
224	548	1888
225	550	1886
226	552	1882
227	554	1879
228	557	1875
229	559	1872
230	561	1868
231	563	1864
232	565	1860
233	567	1857
234	569	1853
235	571	1850
236	573	1847
237	576	1844
238	577	1839
239	579	1836
240	582	1833
241	584	1830
242	586	1827
243	588	1824
244	591	1821
245	593	1819
246	595	1815
247	597	1812
248	599	1809
249	601	1805
250	603	1802
251	605	1798
252	608	1795
253	610	1791
254	612	1788
255	614	1784
256	616	1781
257	618	1777
258	620	1774
259	622	1771
260	624	1768
261	626	1765
262	628	1761
263	630	1758
264	632	1755
265	634	1751
266	637	1748
267	639	1745
268	641	1742
269	643	1739
270	645	1735
271	647	1733
272	650	1731
273	652	1728
274	654	1725
275	656	1722
276	658	1719
277	660	1716
278	662	1713
279	664	1709
280	666	1706
281	668	1702
282	670	1699
283	672	1695
284	674	1693
285	676	1689
286	678	1686
287	681	1684
288	683	1680
289	685	1677
290	687	1674
291	689	1671
292	691	1668
293	693	1665
294	695	1662
295	697	1659
296	699	1656
297	702	1653
298	704	1650
299	705	1647
300	708	1644
301	710	1641
302	712	1639
303	715	1637
304	717	1634
305	719	1631
306	721	1628
307	723	1626
308	725	1623
309	728	1620
310	730	1617
311	732	1614
312	734	1611
313	736	1608
314	738	1605
315	740	1602
316	742	1599
317	744	1597
318	746	1594
319	748	1590
320	751	1588
321	753	1586
322	755	1583
323	757	1581
324	759	1578
325	761	1575
326	763	1572
327	765	1569
328	768	1566
329	770	1563
330	772	1561
331	774	1558
332	777	1557
333	780	1555
334	782	1552
335	784	1550
336	786	1547
337	788	1544
338	790	1542
339	793	1539
340	795	1536
341	797	1534
342	799	1531
343	801	1528
344	804	1526
345	806	1523
346	807	1520
347	810	1517
348	811	1514
349	814	1512
350	816	1509
351	818	1506
352	820	1503
353	822	1501
354	824	1498
355	826	1495
356	828	1493
357	831	1490
358	833	1487
359	835	1485
360	837	1482
361	839	1479
362	841	1476
363	843	1474
364	845	1471
365	847	1468
366	849	1465
367	851	1462
368	853	1460
369	855	1457
370	857	1454
371	859	1451
372	861	1448
373	863	1446
374	866	1443
375	868	1441
376	870	1438
377	872	1435
378	874	1433
379	877	1430
380	878	1427
381	881	1425
382	883	1422
383	885	1420
384	887	1417
385	889	1414
386	891	1412
387	893	1409
388	896	1407
389	898	1405
390	900	1402
391	902	1400
392	904	1397
393	907	1395
394	909	1392
395	910	1389
396	913	1386
